WarNum,label,WarType,CcodeA,SideA,CcodeB,SideB,Intnl,StartMonth1,StartDay1,start,EndMonth1,EndDay1,end,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,SideADeaths,SideBDeaths,Version
500,First Caucasus,5,365,Russia,-8,"Georgians, Dhagestania, Chechens",0,6,10,1818,-9,-9,1822,-8,-8,-8,-8,-8,-8,-8,2,Chechens,1,-8,5000,6000,4.1
501,Sidon-Damascus,6,-8,Sidon,-8,Damascus & Aleppo,0,6,-9,1820,7,21,1821,-8,-8,-8,-8,-8,-8,-8,6,Sidon,2,-8,-9,-9,4.1
502,First Two Sicilies,4,300,Austria,-8,-8,1,3,-9,1821,3,23,1821,-8,-8,-8,-8,-8,-8,-8,2,Liberals,1,-8,-9,-8,4.1
502,First Two Sicilies,4,329,Two Sicilies,-8,Liberals,1,7,2,1820,3,23,1821,-8,-8,-8,-8,-8,-8,-8,2,Liberals,1,-8,-9,-9,4.1
503,Spanish Royalists,4,230,Spain,-8,Royalists,0,12,1,1821,4,6,1823,-8,-8,-8,-8,-8,-8,-8,2,Royalists,4,1,-9,-9,4.1
505,Sardinian Revolt,4,300,Austria,-8,-8,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,2,Carbonari,1,-8,-9,-8,4.1
505,Sardinian Revolt,4,325,Sardinia,-8,Carbonari,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,2,Carbonari,1,-8,-9,-9,4.1
506,Greek Independence,5,640,Ottoman Empire,-8,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,6000,3000,4.1
506,Greek Independence,5,-8,-8,200,United Kingdom,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,-8,80,4.1
506,Greek Independence,5,-8,-8,220,France,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,-8,40,4.1
506,Greek Independence,5,-8,-8,365,Russia,1,10,20,1827,4,25,1828,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,-8,60,4.1
507,Egypt-Mehdi,6,-8,Egypt,-8,Mehdi army,0,3,20,1824,4,-9,1824,-8,-8,-8,-8,-8,-8,-8,6,Mehdi army,1,-8,-9,-9,4.1
508,Janissari Revolt,4,640,Ottoman Empire,-8,Janissaries,0,6,14,1826,9,30,1826,-8,-8,-8,-8,-8,-8,-8,6,Janissaries,1,-8,300,6000,4.1
510,Miguelite War,4,-8,-8,200,United Kingdom,1,7,1,1831,5,26,1834,-8,-8,-8,-8,-8,-8,-8,2,Constitutionalists,2,-8,-8,100,4.1
510,Miguelite War,4,235,Portugal,-8,Constitutionalists,1,7,11,1828,5,26,1834,-8,-8,-8,-8,-8,-8,-8,2,Constitutionalists,2,-8,12000,8000,4.1
